regime,policy,n_replicates,expected_total_cost_mean,expected_total_cost_ci_lower,expected_total_cost_ci_upper,task_success_rate_mean,task_success_rate_ci_lower,task_success_rate_ci_upper,incorrect_action_rate_mean,incorrect_action_rate_ci_lower,incorrect_action_rate_ci_upper,clarification_frequency_mean,clarification_frequency_ci_lower,clarification_frequency_ci_upper
calibrated,always_act,100,1.9421600000000003,1.9375706688005738,1.9467493311994268,0.611568,0.6106501337601147,0.6124858662398853,0.38843199999999994,0.3875141337601146,0.38934986623988527,0.0,0.0,0.0
calibrated,always_ask,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
calibrated,threshold,100,0.959461,0.958235706106086,0.960686293893914,0.9841180000000002,0.9838561365110289,0.9843798634889714,0.015882,0.015620136511028672,0.01614386348897133,0.8800510000000002,0.8794395305980329,0.8806624694019676
overconfident,always_act,100,1.9421600000000003,1.9375706688005738,1.9467493311994268,0.611568,0.6106501337601147,0.6124858662398853,0.38843199999999994,0.3875141337601146,0.38934986623988527,0.0,0.0,0.0
overconfident,always_ask,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
overconfident,threshold,100,1.1241240000000001,1.1212770149886901,1.12697098501131,0.886872,0.886269351053898,0.887474648946102,0.11312799999999999,0.11252535105389798,0.113730648946102,0.558484,0.5574464543471925,0.5595215456528074
underconfident,always_act,100,1.9421600000000003,1.9375706688005738,1.9467493311994268,0.611568,0.6106501337601147,0.6124858662398853,0.38843199999999994,0.3875141337601146,0.38934986623988527,0.0,0.0,0.0
underconfident,always_ask,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
underconfident,threshold,100,0.9967790000000001,0.9966275633145351,0.9969304366854651,0.9999109999999999,0.9998914821648797,0.9999305178351201,8.9e-05,6.948216487980993e-05,0.00010851783512019006,0.996334,0.996207176201452,0.9964608237985481
noisy,always_act,100,2.1148549999999995,2.1098857208307096,2.1198242791692894,0.577029,0.576035144166142,0.578022855833858,0.422971,0.42197714416614196,0.423964855833858,0.0,0.0,0.0
noisy,always_ask,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
noisy,threshold,100,1.0049620000000001,1.0034082666836575,1.0065157333163428,0.9657849999999999,0.9654320707649705,0.9661379292350293,0.034214999999999995,0.033862070764970616,0.034567929235029375,0.8338870000000002,0.8332237590599259,0.8345502409400745
